# Simple Icons title, verified source domain and display colour
2k	2K	2k.com	DD0700
cesium	Cesium	cesium.com	6CADDF
securityscorecard	SecurityScorecard	securityscorecard.com	7033FD
tokio	Tokio	tokio.rs	AAB6C2
codacy	Codacy	codacy.com	AAB6C2
crunchbase	Crunchbase	crunchbase.com	0288D1
talenthouse	Talenthouse	talenthouse.com	AAB6C2
starlingbank	Starling Bank	starlingbank.com	6935D3
aeroflot	Aeroflot	aeroflot.ru	AAB6C2
nissan	Nissan	nissan.ie	C3002F
snowpack	Snowpack	snowpack.dev	2E5E82
trailforks	Trailforks	trailforks.com	FFCD00
aeromexico	Aeroméxico	aeromexico.com	AAB6C2
analogue	Analogue	analogue.co	AAB6C2
codeclimate	Code Climate	codeclimate.com	AAB6C2
speakerdeck	Speaker Deck	speakerdeck.com	009287
gurobi	Gurobi	gurobi.com	EE3524
gentoo	Gentoo	gentoo.org	54487A
lemonsqueezy	Lemon Squeezy	lemonsqueezy.com	FFC233
near	NEAR	near.org	AAB6C2
oclc	OCLC	oclc.org	007DBA
picrew	Picrew	picrew.me	FFBD16
redmine	Redmine	redmine.org	B32024
lbry	LBRY	lbry.com	2F9176
paperspace	Paperspace	paperspace.com	AAB6C2
fujitsu	Fujitsu	fujitsu.com	FF0000
accusoft	Accusoft	accusoft.com	A9225C
postmates	Postmates	postmates.com	FFDF18
iconify	Iconify	iconify.design	026C9C
pexels	Pexels	pexels.com	05A081
moo	Moo	moo.com	00945E
prosieben	ProSieben	prosieben.de	E6000F
root	ROOT	root.cern	1ED3E4
ingress	Ingress	ingress.com	783CBD
man	MAN	man.eu	E40045
processwire	ProcessWire	processwire.com	2480E6
tarom	TAROM	tarom.ro	AAB6C2
akasaair	Akasa Air	akasaair.com	FF6300
elegoo	Elegoo	elegoo.com	AAB6C2
zomato	Zomato	zomato.com	E23744
supermicro	Supermicro	supermicro.com	AAB6C2
infinityfree	InfinityFree	infinityfree.com	7738C8
clyp	Clyp	clyp.it	3CBDB1
kinsta	Kinsta	kinsta.com	5333ED
spoj	Sphere Online Judge	spoj.com	337AB7
puppet	Puppet	puppet.com	FFAE1A
statista	Statista	statista.com	AAB6C2
edeka	EDEKA	edeka.de	1B66B3
graylog	Graylog	graylog.org	FF3633
jbl	JBL	jbl.com	FF3300
furaffinity	Fur Affinity	furaffinity.net	36566F
almalinux	AlmaLinux	almalinux.org	AAB6C2
ufc	UFC	ufc.com	D20A0A
cloudbees	CloudBees	cloudbees.com	1997B5
embarcadero	Embarcadero	embarcadero.com	ED1F35
ecovacs	Ecovacs	ecovacs.com	AAB6C2
qemu	QEMU	qemu.org	FF6600
mitsubishi	Mitsubishi	mitsubishi.com	E60012
onstar	OnStar	onstar.com	AAB6C2
g2	G2	g2.com	FF492C
teratail	teratail	teratail.com	F4C51C
immersivetranslate	Immersive Translate	immersivetranslate.com	EA4C89
accenture	Accenture	accenture.com	A100FF
asana	Asana	asana.com	F06A6A
manjaro	Manjaro	manjaro.org	35BFA4
datacamp	DataCamp	datacamp.com	03EF62
obsidian	Obsidian	obsidian.md	7C3AED
ethers	Ethers	ethers.org	AAB6C2
educative	Educative	educative.io	4951F5
adonisjs	AdonisJS	adonisjs.com	5A45FF
kueski	Kueski	kueski.com	0075FF
freecad	FreeCAD	freecad.org	418FDE
pivotaltracker	Pivotal Tracker	pivotaltracker.com	517A9E
tabelog	Tabelog	tabelog.com	F2CC38
frontify	Frontify	frontify.com	AAB6C2
gumtree	Gumtree	gumtree.com	72EF36
delta	Delta	delta.com	AAB6C2
roundcube	Roundcube	roundcube.net	37BEFF
vivino	Vivino	vivino.com	A61A30
drooble	Drooble	drooble.com	19C4BE
teepublic	TeePublic	teepublic.design	4E64DF
zerodha	Zerodha	zerodha.com	387ED1
alternativeto	AlternativeTo	alternativeto.net	0289D5
redsys	Redsys	redsys.es	DC7C26
moleculer	Moleculer	moleculer.services	3CAFCE
awesomewm	awesomeWM	awesomewm.org	535D6C
listenhub	ListenHub	listenhub.ai	AAB6C2
songoda	Songoda	songoda.com	FC494A
pioneerdj	Pioneer DJ	pioneerdj.com	AAB6C2
wizzair	Wizz Air	wizzair.com	C6007E
opslevel	OpsLevel	opslevel.com	0A53E0
baserow	Baserow	baserow.io	5190EF
jouav	JOUAV	jouav.com	E1B133
opensea	OpenSea	opensea.io	2081E2
norwegian	Norwegian	norwegian.com	D81939
smart	smart	smart.com	D7E600
nutanix	Nutanix	nutanix.com	024DA1
pagekit	Pagekit	pagekit.com	AAB6C2
wipro	Wipro	wipro.com	AAB6C2
plotly	Plotly	plotly.com	7A76FF
bitdefender	Bitdefender	bitdefender.com	ED1C24
ultralytics	Ultralytics	ultralytics.com	AAB6C2
byjus	Byju's	byjus.com	813588
progate	Progate	progate.com	AAB6C2
typeform	Typeform	typeform.com	AAB6C2
cypress	Cypress	cypress.io	69D3A7
cardano	Cardano	cardano.org	AAB6C2
threema	Threema	threema.ch	3FE669
printables	Printables	printables.com	FA6831
meetup	Meetup	meetup.com	ED1C40
spacemacs	Spacemacs	spacemacs.org	9266CC
checkmk	Checkmk	checkmk.com	15D1A0
codebuddy	CodeBuddy	codebuddy.cn	6C4DFF
robinhood	Robinhood	robinhood.com	CCFF00
taipy	Taipy	taipy.io	FF371A
gitkraken	GitKraken	gitkraken.com	179287
hoppscotch	Hoppscotch	hoppscotch.com	AAB6C2
privatedivision	Private Division	privatedivision.com	AAB6C2
suno	Suno	suno.com	AAB6C2
bitcoincash	Bitcoin Cash	bitcoincash.org	0AC18E
ripple	Ripple	ripple.com	0085C0
sketchup	SketchUp	sketchup.com	005F9E
sabanci	Sabanci	sabanci.com	004B93
calendly	Calendly	calendly.com	006BFF
futurelearn	FutureLearn	futurelearn.com	DE00A5
elavon	Elavon	elavon.com	AAB6C2
cloud66	Cloud 66	cloud66.com	3C72B9
zillow	Zillow	zillow.com	006AFF
crowdin	Crowdin	crowdin.com	AAB6C2
borgbackup	BorgBackup	borgbackup.org	00DD00
